Course__c,ID,Status__c
355,1459,Delivered
356,1460,Delivered
357,1461,Delivered
358,1462,Delivered
359,1463,Delivered
360,1464,Delivered
361,1465,Delivered
362,1466,Delivered
363,1467,Delivered
364,1468,Delivered
365,1469,Delivered
366,1470,Delivered
367,1471,Delivered
368,1472,Delivered
369,1473,Delivered
370,1474,Delivered
371,1475,Delivered
372,1476,Delivered
373,1477,Delivered
374,1478,Delivered
375,1479,Delivered
376,1480,Delivered
377,1481,Delivered
378,1482,Delivered
379,1483,Delivered
380,1484,Cancelled
381,1485,Cancelled
382,1486,Cancelled
383,1487,Cancelled
384,1488,Cancelled
385,1489,Cancelled
386,1490,Cancelled
387,1491,Cancelled
388,1492,Cancelled
389,1493,Cancelled
390,1494,Cancelled
391,1495,Cancelled
392,1496,Cancelled
393,1497,Cancelled
394,1498,Cancelled
395,1499,Cancelled
396,1500,Cancelled
397,1501,Cancelled
398,1502,Cancelled
399,1503,Cancelled
400,1504,Cancelled
401,1505,Cancelled
402,1506,Cancelled
403,1507,Cancelled
404,1508,Cancelled
405,1509,Cancelled
406,1510,Cancelled
407,1511,Cancelled
408,1512,Cancelled
409,1513,Cancelled
410,1514,Cancelled
411,1515,Cancelled
412,1516,Cancelled
413,1517,Cancelled
414,1518,Cancelled
415,1519,Cancelled
416,1520,Cancelled
417,1521,Cancelled
418,1522,Cancelled
419,1523,Cancelled
420,1524,Cancelled
420,1525,Cancelled
420,1526,Cancelled
420,1527,Cancelled
420,1528,Cancelled
421,1529,Cancelled
421,1530,Cancelled
421,1531,Cancelled
421,1532,Cancelled
422,1533,Scheduled
422,1534,Scheduled
422,1535,Scheduled
422,1536,Scheduled
422,1537,Scheduled
422,1538,Scheduled
422,1539,Scheduled
422,1540,Scheduled
422,1541,Scheduled
422,1542,Scheduled
422,1543,Scheduled
422,1544,Scheduled
422,1545,Scheduled
422,1546,Scheduled
422,1547,Scheduled
422,1548,Scheduled
422,1549,Scheduled
422,1550,Scheduled
422,1551,Scheduled
422,1552,Scheduled
422,1553,Scheduled
422,1554,Scheduled
422,1555,Scheduled
422,1556,Scheduled
422,1557,Scheduled
422,1558,Scheduled
422,1559,Scheduled
422,1560,Scheduled
422,1561,Scheduled
422,1562,Scheduled
422,1563,Scheduled
422,1564,Scheduled
422,1565,Scheduled
422,1566,Scheduled
422,1567,Scheduled
422,1568,Scheduled
422,1569,Scheduled
422,1570,Scheduled
422,1571,Scheduled
422,1572,Scheduled
422,1573,Scheduled
422,1574,Scheduled
422,1575,Scheduled
422,1576,Scheduled
422,1577,Scheduled
422,1578,Scheduled
422,1579,Scheduled
422,1580,Scheduled
422,1581,Scheduled
422,1582,Scheduled
422,1583,Scheduled
422,1584,Scheduled
422,1585,Scheduled
422,1586,Scheduled
422,1587,Scheduled
422,1588,Scheduled
422,1589,Scheduled
422,1590,Scheduled
422,1591,Scheduled
422,1592,Scheduled
422,1593,Scheduled
422,1594,Scheduled
422,1595,Scheduled
422,1596,Scheduled
422,1597,Scheduled
422,1598,Scheduled
422,1599,Scheduled
422,1600,Scheduled
422,1601,Scheduled
422,1602,Scheduled
422,1603,Scheduled
422,1604,Scheduled
422,1605,Scheduled
422,1606,Scheduled
422,1607,Scheduled
422,1608,Scheduled
422,1609,Scheduled
422,1610,Scheduled
422,1611,Scheduled
422,1612,Scheduled
422,1613,Scheduled
422,1614,Scheduled
422,1615,Scheduled
422,1616,Scheduled
422,1617,Scheduled
422,1618,Scheduled
422,1619,Scheduled
422,1620,Scheduled
422,1621,Scheduled
422,1622,Scheduled
422,1623,Scheduled
422,1624,Scheduled
422,1625,Scheduled
422,1626,Scheduled
422,1627,Scheduled
422,1628,Scheduled
422,1629,Scheduled
422,1630,Scheduled
422,1631,Scheduled
422,1632,Scheduled
422,1633,Scheduled
422,1634,Scheduled
422,1635,Scheduled
422,1636,Scheduled
422,1637,Scheduled
422,1638,Scheduled
422,1639,Scheduled
422,1640,Scheduled
422,1641,Scheduled
422,1642,Scheduled
422,1643,Scheduled
422,1644,Scheduled
422,1645,Scheduled
422,1646,Scheduled
422,1647,Scheduled
422,1648,Scheduled
422,1649,Scheduled
422,1650,Scheduled
422,1651,Scheduled
422,1652,Scheduled
422,1653,Scheduled
422,1654,Scheduled
422,1655,Scheduled
422,1656,Scheduled
422,1657,Scheduled
422,1658,Scheduled
422,1659,Scheduled
422,1660,Scheduled
422,1661,Scheduled
422,1662,Scheduled
422,1663,Scheduled
422,1664,Scheduled
422,1665,Scheduled
422,1666,Scheduled
422,1667,Scheduled
422,1668,Scheduled
422,1669,Scheduled
422,1670,Scheduled
422,1671,Scheduled
422,1672,Scheduled
422,1673,Scheduled
422,1674,Scheduled
422,1675,Scheduled
422,1676,Scheduled
422,1677,Scheduled
422,1678,Scheduled
422,1679,Scheduled
422,1680,Scheduled
422,1681,Scheduled
422,1682,Scheduled
